Match ,Teams,Venue,Scoreline,Home Goals ,Away Goals,Home Possession,Away Possession,Home Shots,Away Shots,Home SoT,Away SoT,Home Passes,Away Passes,Home Pass Acc,Away Pass Acc,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds,Home Offsides,Away Offsides,Home Corners,Away Corners,Home Saves,Away Saves,Goals Diff,Possession Diff,Shots Diff,SoT Diff,Passes Diff,Pass Acc Diff,Fouls Diff,Yellows Diff,Reds Diff,Offsides Diff,Corners Diff,Saves Diff,Stat score abs,Stat score pure,Normalized stat score abs,Normalized stat score pure,Balance
UCL_QF_L2,Real Madrid vs Arsenal,Estadio Santiago Bernabeu,1-2,1,2,67,33,18,12,3,6,431,233,86,76,18,15,3,2,0,0,2,1,10,4,4,2,-1,34,6,-3,198,10,-3,-1,0,-1,6,2,68.48,47.48,6.848,4.748,31.52
LEAGUE_F_,Barcelona vs Real Madrid,Estadi Olímpic Lluís Companys,4-3,4,3,63,37,23,9,9,5,478,296,87,80,17,15,4,3,0,0,1,5,10,2,2,5,1,26,14,4,182,7,-2,-1,0,4,8,-3,74.82,70.82,7.482,7.082,25.18
UCL_GS_,Liverpool vs Real Madrid,Anfield,2-0,2,0,63,37,17,8,7,3,617,366,91,87,11,10,3,4,0,0,1,3,8,5,3,5,2,26,9,4,251,4,-1,1,0,2,3,-2,61.01,60.01,6.101,6.001,38.99
LEAGUE_LEAGUE_,Barcelona vs Valencia,Estadi Olímpic Lluís Companys,7-1,7,1,72,28,22,7,11,2,707,265,90,74,10,12,0,1,0,0,0,4,14,4,1,4,6,44,15,9,442,16,2,1,0,4,10,-3,121.92,121.92,12.192,12.192,-21.92
LEAGUE_LEAGUE_,Atlético Madrid vs Barcelona,Riyadh Air Metropolitano,2-4,2,4,33,67,7,13,2,6,319,639,76,89,10,11,1,3,0,0,2,0,6,6,2,0,-2,-34,-6,-4,-320,-13,1,2,0,-2,0,2,73.7,-68.7,7.37,-6.87,26.3
UCL_GS_,Barcelona vs Bayern,Estadi Olímpic Lluís Companys,4-1,4,1,39,61,12,11,4,3,377,565,81,87,11,10,0,2,0,0,1,3,5,5,2,0,3,-22,1,1,-188,-6,-1,2,0,2,0,2,40.88,-19.88,4.088,-1.988,59.12
SPCUP_F_,Liverpool vs Newcastle,Wembley Stadium,1-2,1,2,66,34,7,17,2,6,452,228,79,63,14,10,1,2,0,0,2,2,4,9,4,1,-1,32,-10,-4,224,16,-4,1,0,0,-5,3,79.74,22.74,7.974,2.274,20.26
UCL_GS_,Leverkusen vs Sparta Praha,BayArena,2-0,2,0,71,29,26,12,10,1,760,313,93,79,5,6,2,2,0,0,0,1,10,2,1,8,2,42,14,9,447,14,1,0,0,1,8,-7,106.97,106.97,10.697,10.697,-6.97
CWC_F_,Chelsea vs PSG,MetLife Stadium,3-0,3,0,33,67,10,8,5,6,301,601,80,90,15,12,4,2,0,1,3,2,3,5,6,2,3,-34,2,-1,-300,-10,-3,-2,1,-1,-2,4,62.5,-46.5,6.25,-4.65,37.5
UCL_SF_L1,Arsenal vs PSG,Emirates Stadium,0-1,0,1,48,52,8,12,4,5,332,378,90,94,10,14,2,2,0,0,4,1,3,1,4,4,-1,-4,-4,-1,-46,-4,4,0,0,-3,2,0,23.46,-17.46,2.346,-1.746,76.54
UCL_SF_L2,PSG vs Arsenal,Parc des Princes,2-1,2,1,48,52,10,16,6,5,291,326,85,82,11,11,2,4,0,0,1,1,2,6,4,4,1,-4,-6,1,-35,3,0,2,0,0,-4,0,23.35,-7.35,2.335,-0.735,76.65
