Match ,Teams,Venue,Comebacks,Late Goal,Penalties,Missed Penalties,Free Kick Goals,Hattricks,Braces,Lead Changes,ET/Penalty Shootout,Disallowed Goals,VAR Penalties ,VAR Penalties Overturned,Competition,Stage,C_score,S_score,CS_score,Raw_Ent_score,Ent_score,Tension Score,Diff Score,Normalized stat score abs,Raw Final Score,Final Score,Adj Final Score,Avg Final Score,Raw Label,Label,Adj Label,Avg Label
LEAGUE_LEAGUE_,Celta Vigo vs Sevilla,Balaídos,1,2,1,0,0,0,0,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,9,10,4.5,5.5,4.46,7.184,7.584,6.684,7.150666667,Decent Match ⚖️,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Real Betis vs Sevilla,Benito Villamarín,1,0,0,0,0,0,0,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,5,6,8.25,-2.25,3.658,6.7632,7.1632,5.5132,6.479866667,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Crystal Palace vs Brighton,Selhurst Park,1,0,0,0,0,0,0,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,5,6,1.5,4.5,5.367,4.7468,5.1468,4.8468,4.913466667,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Man City vs Chelsea,Etihad Stadium,1,1,0,0,0,0,0,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,6.5,7.5,9,-1.5,3.842,7.7368,8.1368,6.3368,7.403466667,Decent Match ⚖️,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Leicester City vs Tottenham,King Power Stadium,1,0,0,0,0,0,0,1,0,0,0,0,LEAGUE,LEAGUE,1,1,1,4,5,5,0,8.596,7.0384,7.4384,6.4384,6.971733333,Decent Match ⚖️,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Barcelona vs Real Betis,Estadi Olímpic Lluís Companys,1,0,0,0,0,0,0,1,0,0,0,0,LEAGUE,LEAGUE,1,1,1,4,5,6,-1,9.724,7.8896,8.2896,7.0896,7.756266667,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
LEAGUE_LEAGUE_,Getafe vs Atlético Madrid,Coliseum,1,2,1,0,0,0,0,2,0,0,1,0,LEAGUE,LEAGUE,1,1,1,10,11,2.5,8.5,5.946,7.3784,7.7784,7.8757,7.6775,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
LEAGUE_LEAGUE_,Real Betis vs Alavés,Benito Villamarín,1,2,1,0,0,1,0,2,0,0,0,1,LEAGUE,LEAGUE,1,1,1,13.5,14.5,2.5,12,2.265,7.306,7.706,7.79425,7.602083333,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
LEAGUE_LEAGUE_,Ipswich Town vs Wolves,Portman Road,1,1,0,0,0,0,0,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,6.5,7.5,1.5,6,5.784,5.5136,5.9136,5.6136,5.680266667,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Tottenham vs Brighton,Tottenham Hotspur Stadium,1,2,2,0,0,0,1,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,11,12,2.5,9.5,8.774,8.9096,9.3096,9.5983,9.2725,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
LEAGUE_LEAGUE_,Juventus vs Empoli,Allianz Stadium,1,2,0,0,0,0,1,2,0,0,0,1,LEAGUE,LEAGUE,1,1,1,11,12,1.5,10.5,5.97,7.388,7.788,8.2365,7.804166667,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
LEAGUE_LEAGUE_,Milan vs Atalanta,San Siro,0,0,0,0,0,0,0,1,0,0,0,0,LEAGUE,LEAGUE,1,1,1,1,2,8.5,-6.5,1.842,4.5368,4.9368,3.2368,4.2368,Forgettable 😴,Forgettable 😴,Trash 🗑️,Trash 🗑️
UCL_GS_,Celtic vs Bayern,Celtic Park,0,1,0,0,0,0,0,1,0,0,0,1,UCL,GS,3,1,2,4.5,6.5,3,3.5,3.114,4.2456,5.0456,4.4456,4.578933333,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
UCL_GS_,Crvena zvezda vs PSV,Red Star Stadium,0,1,0,0,0,0,1,1,0,0,0,0,UCL,GS,3,1,2,3.5,5.5,1.5,4,4.199,3.6796,4.4796,4.1796,4.112933333,Trash 🗑️,Forgettable 😴,Forgettable 😴,Forgettable 😴
UCL_GS_,Crvena zvezda vs PSV,Red Star Stadium,1,1,1,0,0,0,0,1,0,0,0,0,UCL,GS,3,1,2,6.5,8.5,1.25,7.25,4.702,4.9808,5.7808,5.5308,5.4308,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
EURO_F_,Spain vs England,Olympiastadion Berlin,1,1,0,0,0,0,0,2,0,0,0,0,EURO,F,4,5,4.5,6.5,11,12.5,-1.5,6.601,10.2404,12.0404,9.17045,10.48375,Banger 🎯,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
EURO_SF_,Spain vs Germany,MHPArena,1,2,0,0,0,0,0,2,1,0,0,0,EURO,SF,4,4,4,11,15,11.5,3.5,2.712,10.0848,11.6848,9.1204,10.29666667,Banger 🎯,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
EURO_SF_,Netherlands vs England,Signul Iduna Park,1,1,1,0,0,0,0,2,0,0,1,0,EURO,SF,4,4,4,8.5,12.5,11,1.5,3.975,9.39,10.99,8.51375,9.63125,Decent Match ⚖️,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
COPA_F_,Argentina vs Colombia,Hard Rock Stadium,0,0,0,0,0,0,0,1,1,0,0,0,COPA,F,4,5,4.5,4,8.5,12.5,-4,4.078,8.2312,10.0312,7.5312,8.597866667,Decent Match ⚖️,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
COPA_F_,Argentina vs Brazil,Maracanã,0,0,0,0,0,0,0,1,0,0,0,0,COPA,F,4,5,4.5,1,5.5,15,-9.5,4.793,8.3172,10.1172,7.1172,8.5172,Decent Match ⚖️,Banger 🎯,Decent Match ⚖️,Decent Match ⚖️
WCQ_GS_,Argentina vs Brazil,Estadio Mâs Monumental,0,0,0,0,0,0,0,1,0,0,0,0,WCQ,GS,2,1,1.5,1,2.5,10,-7.5,5.101,6.4404,7.0404,5.0404,6.173733333,Forgettable 😴,Decent Match ⚖️,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Inter Miami vs Cincinnati,Chase Stadium,0,0,0,0,0,0,0,0,0,0,0,0,LEAGUE,LEAGUE,1,1,1,0,1,8,-7,3.91,4.764,5.164,3.564,4.497333333,Forgettable 😴,Forgettable 😴,Trash 🗑️,Trash 🗑️
EURO_F_,Italy vs England,Wembley Stadium,1,0,0,0,0,0,0,1,1,0,0,0,EURO,F,4,5,4.5,7,11.5,13,-1.5,8.594,11.4376,13.2376,10.3423,11.6725,Banger 🎯,Absolute Cinema 🍿,Banger 🎯,Banger 🎯
EURO_SF_,Italy vs Spain,Wembley Stadium,1,1,0,0,0,0,0,1,1,0,0,0,EURO,SF,4,4,4,8.5,12.5,12,0.5,8.771,11.7084,13.3084,10.77195,11.92958333,Banger 🎯,Absolute Cinema 🍿,Banger 🎯,Banger 🎯
EURO_SF_,England vs Denmark,Wembley Stadium,1,0,0,0,1,0,0,2,1,0,0,0,EURO,SF,4,4,4,10,14,7.5,6.5,6.894,9.7576,11.3576,10.1523,10.4225,Decent Match ⚖️,Banger 🎯,Banger 🎯,Banger 🎯
LEAGUE_LEAGUE_,Everton vs Tottenham,Goodison Park,0,2,0,0,0,0,0,1,0,0,0,0,LEAGUE,LEAGUE,1,1,1,4,5,3,2,4.386,4.5544,4.9544,4.3544,4.621066667,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
LEAGUE_LEAGUE_,Man City vs Arsenal,Etihad Stadium,2,1,0,0,0,0,0,2,0,0,0,0,LEAGUE,LEAGUE,1,1,1,9.5,10.5,11.5,-1,14.787,14.3148,14.7148,12.52915,13.85291667,Absolute Cinema 🍿,Absolute Cinema 🍿,Banger 🎯,Banger 🎯
UCL_GS_,Barcelona vs Brest,Estadi Olímpic Lluís Companys,0,1,1,0,0,0,1,1,0,0,0,0,UCL,GS,3,1,2,4.5,6.5,2.5,4,13.539,8.2156,9.0156,9.26755,8.832916667,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️,Decent Match ⚖️
UCL_GS_,Man City vs Inter,Etihad Stadium,0,0,0,0,0,0,0,0,0,0,0,0,UCL,GS,3,1,2,0,2,7,-5,4.664,4.6656,5.4656,4.0656,4.732266667,Forgettable 😴,Forgettable 😴,Forgettable 😴,Forgettable 😴
