Match ,Teams,Venue,Normalized stat score abs,Normalized stat score pure,Ent_score,Tension Score,Stat_Ent,Diff_ten_ent,Label
LEAGUE_LEAGUE_,Barcelona vs Celta Vigo,Estadi Olímpic Lluís Companys,7.403,6.203,16,6.5,11.7015,9.5,Exceeded Expectantions
CUP_SF_L1,Barcelona vs Atlético Madrid,Estadi Olímpic Lluís Companys,7.502,7.302,14,14,10.751,0,Lived up to hype
LEAGUE_LEAGUE_,Everton vs Ipswich Town,Goodison Park,1.704,0.004,6.5,1,4.102,5.5,Exceeded Expectantions
WC_QF_,Netherlands vs Argentina,Lusail Stadium,3.732,-2.068,16,13,9.866,3,Exceeded Expectantions
WC_F_,Argentina vs France,Lusail Stadium,4.603,3.503,27,13.5,15.8015,13.5,Exceeded Expectantions
UCL_QF_L1,Barcelona vs Dortmund,Estadi Olímpic Lluís Companys,6.18,5.98,6.5,8,6.34,-1.5,Slight Letdown
UCL_QF_L2,Dortmund vs Barcelona,Signul Iduna Park,4.186,2.314,9,9,6.593,0,Lived up to hype
UCL_GS_,Dortmund vs Barcelona,Signul Iduna Park,4.48,-4.48,16.5,4.5,10.49,12,Exceeded Expectantions
UCL_PL_L1,Man City vs Real Madrid,Etihad Stadium,4.573,-1.327,17.5,12,11.0365,5.5,Exceeded Expectantions
UCL_PL_L2,Real Madrid vs Man City ,Estadio Santiago Bernabeu,2.296,1.004,7,14,4.648,-7,Major Letdown
LEAGUE_LEAGUE_,Man City vs Liverpool,Etihad Stadium,6.401,6.001,2,10.75,4.2005,-8.75,Major Letdown
LEAGUE_LEAGUE_,Liverpool vs Man United,Anfield,3.094,2.794,11.5,11,7.297,0.5,Lived up to hype
UEL_SF_L1,Athletic Club vs Man United,San Mamés,7.705,-6.905,6,7,6.8525,-1,Slight Letdown
UEL_SF_L2,Man United vs Athletic Club,Old Trafford,2.764,0.364,13.5,8,8.132,5.5,Exceeded Expectantions
UECL_SF_L1,Real Betis vs Fiorentina,Benito Villamarín,3.883,1.017,3.5,6,3.6915,-2.5,Slight Letdown
UECL_SF_L2,Fiorentina vs Real Betis,Stadio Artemio Franchi,4.078,-0.222,16.5,8,10.289,8.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Chelsea vs Liverpool,Stamford Bridge,6.477,-1.977,6,8.5,6.2385,-2.5,Slight Letdown
LEAGUE_LEAGUE_,Arsenal vs Tottenham,Emirates Stadium,5.1,3.9,6,11.25,5.55,-5.25,Major Letdown
LEAGUE_LEAGUE_,Real Madrid vs Barcelona,Estadio Santiago Bernabeu,5.52,-4.22,7.5,10.75,6.51,-3.25,Major Letdown
UCL_GS_,Atlético Madrid vs Leverkusen,Riyadh Air Metropolitano,7.434,-6.434,11,4.5,9.217,6.5,Exceeded Expectantions
UCL_GS_,Man City vs Feyenoord,Etihad Stadium,6.706,6.206,12,2.5,9.353,9.5,Exceeded Expectantions
UCL_GS_,Liverpool vs Leverkusen,Anfield,4.513,4.287,10,4.5,7.2565,5.5,Exceeded Expectantions
UCL_GS_,Juventus vs PSV,Allianz Stadium,1.673,-1.273,4.5,3,3.0865,1.5,Lived up to hype
UCL_GS_,Milan vs Liverpool,San Siro,5.106,-4.894,7,9,6.053,-2,Slight Letdown
UCL_GS_,Monaco vs Barcelona,Stade Louis II,6.62,5.42,7,3,6.81,4,Exceeded Expectantions
LEAGUE_LEAGUE_,Man City vs Aston Villa,Old Trafford,10.413,10.013,7.5,3.5,8.9565,4,Exceeded Expectantions
LEAGUE_LEAGUE_,Liverpool vs Crystal Palace,Anfield,7.387,5.987,6.5,3,6.9435,3.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Leicester City vs Southampton,King Power Stadium,2.763,2.537,2,0.5,2.3815,1.5,Lived up to hype
UCL_QF_L1,PSG vs Aston Villa,Parc des Princes,11.842,11.642,9.5,7.5,10.671,2,Exceeded Expectantions
UCL_QF_L2,Aston Villa vs PSG,Villa Park,5.634,-3.834,8,8.5,6.817,-0.5,Lived up to hype
LEAGUE_LEAGUE_,Villareal vs Sevilla,Estadio de la Ceramica,1.475,0.525,4.5,2.5,2.9875,2,Exceeded Expectantions
LEAGUE_LEAGUE_,Valencia vs Getafe,Mestalla,5.433,4.933,4,2,4.7165,2,Exceeded Expectantions
